time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-06-11 05:21:20.550402,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.0,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:21.553793,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.6,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:22.557030,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.8,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:23.560368,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.8,27.5,3.375,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:24.562734,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.8,27.5,3.375,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:25.566096,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.7,27.5,3.375,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:26.569581,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.9,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:27.572086,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.9,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:28.574626,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.9,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:29.577621,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.5,27.5,3.377,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:30.580668,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.3,27.5,3.377,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:31.583799,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.3,27.5,3.377,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
