time,ut61e.Cell_Voltage.V
2022-03-09 01:28:18.379397,3.4130000000000003
2022-03-09 01:28:19.382078,3.4130000000000003
2022-03-09 01:28:20.384621,3.4130000000000003
2022-03-09 01:28:21.387349,3.4130000000000003
2022-03-09 01:28:22.389897,3.4130000000000003
2022-03-09 01:28:23.392569,3.4130000000000003
2022-03-09 01:28:24.394734,3.4130000000000003
2022-03-09 01:28:25.397056,3.4130000000000003
2022-03-09 01:28:26.399547,3.4130000000000003
2022-03-09 01:28:27.402205,3.4130000000000003
2022-03-09 01:28:28.404419,3.4130000000000003
2022-03-09 01:28:29.407082,3.4130000000000003
2022-03-09 01:28:30.409950,3.4130000000000003
2022-03-09 01:28:31.412696,3.4130000000000003
2022-03-09 01:28:32.415446,3.4130000000000003
2022-03-09 01:28:33.418335,3.4130000000000003
